Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.02,13,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.02,14,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.02,15,p,9,0.16,0.0262,"rgb(255.0, 80.0, 80.0)"
0.02,16,p,9,1.58,0.254,"rgb(255, 0, 0)"
0.02,17,p,5,0.85,1.0,"rgb(76.00000000000001, 76.00000000000001, 255.0)"
0.02,18,p,6,0.25,0.201,"rgb(255.0, 128.0, 128.0)"
0.02,19,p,11,1.52,0.302,"rgb(255, 0, 0)"
0.02,20,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.02,21,p,13,0.56,0.344,"rgb(224.0, 224.0, 255.0)"
0.02,22,p,6,0.0,0.0183,"rgb(255.0, 0.0, 0.0)"
0.02,23,p,10,0.32,0.106,"rgb(255.0, 162.0, 162.0)"
0.02,24,p,9,0.16,0.0262,"rgb(255.0, 80.0, 80.0)"
0.02,25,p,11,1.52,0.302,"rgb(255, 0, 0)"
0.02,27,p,11,0.13,0.00657,"rgb(255.0, 65.99999999999999, 65.99999999999999)"
0.02,28,p,12,0.25,0.0304,"rgb(255.0, 128.0, 128.0)"
0.02,29,p,16,1.27,0.425,"rgb(255, 0, 0)"
0.02,30,p,9,0.0,0.00193,"rgb(255.0, 0.0, 0.0)"
0.02,31,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.02,32,p,12,0.0,0.00013,"rgb(255.0, 0.0, 0.0)"
0.02,33,p,12,1.77,0.124,"rgb(255, 0, 0)"
0.02,34,p,9,0.16,0.0262,"rgb(255.0, 80.0, 80.0)"
0.02,35,p,16,0.99,1.0,"rgb(4.000000000000014, 4.000000000000014, 255.0)"
0.02,36,p,8,0.76,1.0,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.02,37,p,13,0.56,0.344,"rgb(224.0, 224.0, 255.0)"
0.02,38,p,13,2.85,0.00523,"rgb(255, 0, 0)"
0.02,39,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.02,40,p,9,0.63,0.642,"rgb(188.0, 188.0, 255.0)"
0.02,41,p,13,0.56,0.344,"rgb(224.0, 224.0, 255.0)"
0.02,42,p,24,6.34,1.96e-10,"rgb(255, 0, 0)"
0.02,43,p,9,0.63,0.642,"rgb(188.0, 188.0, 255.0)"
0.02,44,p,12,0.42,0.182,"rgb(255.0, 214.0, 214.0)"
0.02,45,p,7,0.21,0.102,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.02,47,p,13,0.38,0.104,"rgb(255.0, 194.0, 194.0)"
0.02,48,p,6,0.25,0.201,"rgb(255.0, 128.0, 128.0)"
0.02,49,p,11,0.28,0.0572,"rgb(255.0, 142.0, 142.0)"
0.02,50,p,16,0.0,6.73e-06,"rgb(255.0, 0.0, 0.0)"
0.02,51,p,20,0.54,0.172,"rgb(234.0, 234.0, 255.0)"
0.02,52,p,11,0.72,0.671,"rgb(142.0, 142.0, 255.0)"
0.02,53,p,10,0.85,1.0,"rgb(76.00000000000001, 76.00000000000001, 255.0)"
0.02,54,p,25,0.49,0.0611,"rgb(255.0, 250.0, 250.0)"
0.02,55,p,16,0.99,1.0,"rgb(4.000000000000014, 4.000000000000014, 255.0)"
0.02,56,p,25,1.61,0.0853,"rgb(255, 0, 0)"
0.02,57,p,30,1.11,0.671,"rgb(255, 0, 0)"
0.02,58,p,39,2.26,0.000226,"rgb(255, 0, 0)"
0.02,59,p,36,2.88,4.68e-06,"rgb(255, 0, 0)"
0.02,60,p,6,1.27,0.515,"rgb(255, 0, 0)"
0.02,61,p,18,0.81,0.733,"rgb(96.0, 96.0, 255.0)"
0.02,62,p,10,5.07,0.000237,"rgb(255, 0, 0)"
0.02,63,p,25,0.4,0.0138,"rgb(255.0, 204.0, 204.0)"
0.02,64,p,25,1.17,0.531,"rgb(255, 0, 0)"
0.02,65,p,10,0.32,0.106,"rgb(255.0, 162.0, 162.0)"
0.02,66,p,17,0.27,0.00962,"rgb(255.0, 138.0, 138.0)"
0.02,68,p,10,0.14,0.0131,"rgb(255.0, 70.0, 70.0)"
0.02,69,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.02,70,p,11,0.72,0.671,"rgb(142.0, 142.0, 255.0)"
0.02,71,p,7,0.21,0.102,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.02,72,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.02,73,p,17,0.08,9.89e-05,"rgb(255.0, 40.0, 40.0)"
0.02,74,p,18,0.07,4.9e-05,"rgb(255.0, 34.0, 34.0)"
0.02,75,p,23,0.98,1.0,"rgb(9.999999999999993, 9.999999999999993, 255.0)"
0.02,76,p,21,2.54,0.00174,"rgb(255, 0, 0)"
0.02,77,p,13,0.56,0.344,"rgb(224.0, 224.0, 255.0)"
